"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"200",-1,0,0,0,0,-1,0,0
"300",0,0,50,25,0,0,0,0
"400",-1,-10,33,152,0,0,0,0
"500",0,0,908,531,0,0,0,0
"600",-20,-20,54,1232,0,0,0,0
"700",0,0,714,668,0,0,0,0
"800",0,0,2253,1286,0,0,0,0
"900",0,0,3171,1169,0,0,0,250
"1000",-10,-100,6601,3605,0,0,1838,1000
"1100",0,-104,5118,5214,0,0,6800,4245
"1200",-2094,-149,14415,8847,0,0,17400,5918
"1300",-116,-446,9687,9231,-112,-415,18883,1582
"1400",-666,-1024,8108,9510,0,-125,375,6400
"1500",-3393,-3404,8042,11046,-4151,-5750,5751,14750
"1600",-6869,-10416,5845,8315,-5647,-15155,6250,14320
"1700",-42292,-10938,5384,3625,-20298,-5287,4150,575
"1800",-47031,-12871,2601,867,-28531,-21379,0,0
"1900",-6901,-7413,902,354,-7500,-4125,0,500
"2000",-14055,-14535,16,2,-19708,-6250,0,0
"2100",-6451,-9098,0,30,-16689,-2293,0,0
"2200",-6244,-5028,32,3,-28725,-3900,0,0
"2300",-2658,-5821,0,0,-4125,-5000,0,0
"2400",-4645,-6677,1,0,-10500,-2281,0,0
"2500",-2063,-3387,27,30,-1600,-600,0,0
"2600",-3519,-5456,0,0,-11398,-13580,0,0
"2800",-1739,-2921,0,0,-57,0,0,0
"3000",-2500,-2961,0,28,-2250,-5777,0,0
"3200",-619,-2313,0,0,0,0,0,0
"3400",-431,-559,0,0,0,0,0,0
"3500",-734,-1019,0,0,0,-1500,0,0
"4000",-273,-1123,0,0,-250,0,0,0
"4500",-462,-624,0,0,0,0,0,0
"5000",-126,-1947,2,1,-5145,0,0,0
"5500",-315,-4617,0,0,0,-125,0,0
"6000",-800,-3032,0,0,0,0,0,0
"6500",-1775,-1577,0,0,0,0,0,0
"7000",-1124,-767,0,0,0,0,0,0
"8000",-3897,-2557,0,0,0,0,0,0
"9000",-151,0,0,0,0,0,0,0
"10000",-1065,-236,0,0,0,0,0,0
"20000",-35,-65,0,0,0,0,0,0
"25000",-79,0,0,0,0,0,0,0
"30000",-431,0,0,0,0,0,0,0